"Refs","Value","Footprint","Qty","DNP"
"C1","100nF","Capacitor_SMD:C_0805_2012Metric","1",""
"C2","100nF","Capacitor_SMD:C_0805_2012Metric","1",""
"C3","100nF","Capacitor_SMD:C_0805_2012Metric","1",""
"C4","100nF","Capacitor_SMD:C_0805_2012Metric","1",""
"C5","100nF","Capacitor_SMD:C_0805_2012Metric","1",""
"C6","100nF","Capacitor_SMD:C_0805_2012Metric","1",""
"C7","C","Capacitor_SMD:C_0805_2012Metric","1",""
"C8","100nF","Capacitor_SMD:C_0805_2012Metric","1",""
"C9","100nF","Capacitor_SMD:C_0805_2012Metric","1",""
"C10","C","Capacitor_SMD:C_0805_2012Metric","1",""
"D1","BAT54S","Package_TO_SOT_SMD:SOT-23","1",""
"D2","BAT54S","Package_TO_SOT_SMD:SOT-23","1",""
"D3","BAT54S","Package_TO_SOT_SMD:SOT-23","1",""
"D4","BAT54S","Package_TO_SOT_SMD:SOT-23","1",""
"D5","BAT54S","Package_TO_SOT_SMD:SOT-23","1",""
"D6","BAT54S","Package_TO_SOT_SMD:SOT-23","1",""
"D7","LED","LED_SMD:LED_0805_2012Metric","1",""
"D8","BAT54S","Package_TO_SOT_SMD:SOT-23","1",""
"D9","BAT54S","Package_TO_SOT_SMD:SOT-23","1",""
"D10","LED","LED_SMD:LED_0805_2012Metric","1",""
"D11","D_Schottky","Diode_SMD:D_SMA","1",""
"D12","D_TVS","Diode_SMD:D_SMA","1",""
"D13","D_Schottky","Diode_SMD:D_SMA","1",""
"D14","LED","LED_SMD:LED_0805_2012Metric","1",""
"D101","3.3V_TVS","","1",""
"D102","3.3V_TVS","","1",""
"D103","3.3V_TVS","","1",""
"D104","3.3V_TVS","","1",""
"D105","3.3V_TVS","","1",""
"D106","3.3V_TVS","","1",""
"D107","3.3V_TVS","","1",""
"D108","3.3V_TVS","","1",""
"D109","3.3V_TVS","","1",""
"D110","3.3V_TVS","","1",""
"D111","3.3V_TVS","","1",""
"D112","3.3V_TVS","","1",""
"D113","3.3V_TVS","","1",""
"D114","3.3V_TVS","","1",""
"D115","3.3V_TVS","","1",""
"D116","3.3V_TVS","","1",""
"D117","3.3V_TVS","","1",""
"D118","3.3V_TVS","","1",""
"D119","3.3V_TVS","","1",""
"D120","3.3V_TVS","","1",""
"D121","3.3V_TVS","","1",""
"D122","3.3V_TVS","","1",""
"D123","3.3V_TVS","","1",""
"D124","3.3V_TVS","","1",""
"D125","3.3V_TVS","","1",""
"D126","3.3V_TVS","","1",""
"D127","3.3V_TVS","","1",""
"D128","3.3V_TVS","","1",""
"D129","3.3V_TVS","","1",""
"D130","3.3V_TVS","","1",""
"D131","3.3V_TVS","","1",""
"D132","3.3V_TVS","","1",""
"D133","3.3V_TVS","","1",""
"D134","3.3V_TVS","","1",""
"D135","3.3V_TVS","","1",""
"D136","3.3V_TVS","","1",""
"D137","3.3V_TVS","","1",""
"D138","3.3V_TVS","","1",""
"D139","3.3V_TVS","","1",""
"D140","3.3V_TVS","","1",""
"D141","3.3V_TVS","","1",""
"D142","3.3V_TVS","","1",""
"D143","3.3V_TVS","","1",""
"D144","3.3V_TVS","","1",""
"D145","3.3V_TVS","","1",""
"D146","3.3V_TVS","","1",""
"D147","3.3V_TVS","","1",""
"D148","3.3V_TVS","","1",""
"D149","3.3V_TVS","","1",""
"D150","3.3V_TVS","","1",""
"F1","Polyfuse_Small","Fuse:Fuse_1812_4532Metric","1",""
"J1","Screw_Terminal_01x08","Connector_Phoenix_MC:PhoenixContact_MCV_1,5_8-G-3.5_1x08_P3.50mm_Vertical","1",""
"J2","Screw_Terminal_01x08","Connector_Phoenix_MC:PhoenixContact_MCV_1,5_8-G-3.5_1x08_P3.50mm_Vertical","1",""
"J3","Screw_Terminal_01x08","Connector_Phoenix_MC:PhoenixContact_MCV_1,5_8-G-3.5_1x08_P3.50mm_Vertical","1",""
"J4","Screw_Terminal_01x08","Connector_Phoenix_MC:PhoenixContact_MCV_1,5_8-G-3.5_1x08_P3.50mm_Vertical","1",""
"J5","Screw_Terminal_01x08","Connector_Phoenix_MC:PhoenixContact_MCV_1,5_8-G-3.5_1x08_P3.50mm_Vertical","1",""
"J6","Screw_Terminal_01x09","Connector_Phoenix_MC:PhoenixContact_MCV_1,5_9-G-3.5_1x09_P3.50mm_Vertical","1",""
"J7","Screw_Terminal_01x09","Connector_Phoenix_MC:PhoenixContact_MCV_1,5_9-G-3.5_1x09_P3.50mm_Vertical","1",""
"J8","Screw_Terminal_01x02","Connector_Phoenix_MC:PhoenixContact_MCV_1,5_2-G-3.5_1x02_P3.50mm_Vertical","1",""
"L1","L","Inductor_SMD:L_12x12mm_H8mm","1",""
"R1","10k","Resistor_SMD:R_0805_2012Metric","1",""
"R2","330","Resistor_SMD:R_0805_2012Metric","1",""
"R3","330","Resistor_SMD:R_0805_2012Metric","1",""
"R4","330","Resistor_SMD:R_0805_2012Metric","1",""
"R5","330","Resistor_SMD:R_0805_2012Metric","1",""
"R6","330","Resistor_SMD:R_0805_2012Metric","1",""
"R7","330","Resistor_SMD:R_0805_2012Metric","1",""
